mmsi,v_name,v_class,v_callsign,v_imo,v_flag,v_system,v_mmsi,v_source
256110000,VITORIA,Bulk Carrier,9HTP2,8101903, Malta,,256110000,VesselFinder
256138000,POMPANO,Bulk Carrier,9HLY8,9346768, Malta,,256138000,VesselFinder
256164000,MV LILJA BULKER,Bulk Carrier,9HMY8,9281944, Malta,,256164000,VesselFinder
256178000,ALPHA COSMOS,Bulk Carrier,9HNG8,9221009, Malta,,256178000,VesselFinder
256202000,MAGANARI,Bulk Carrier,9HNZ8,9223497, Malta,,256202000,VesselFinder
256327000,CAROLINA,Bulk Carrier,9HRF8,8308068, Malta,,256327000,VesselFinder
256347000,MV IOLCOS UNITY,Bulk Carrier,9HRU8,9313058, Malta,,256347000,VesselFinder
256357000,EVANGELIA PETRAKIS,Bulk Carrier,9HSA8,9313060, Malta,,256357000,VesselFinder
256368000,AMINE BULKER,Bulk Carrier,9HSJ8,9310599, Malta,,256368000,VesselFinder
256376000,MARVELETTE,Bulk Carrier,9HSQ8,9163491, Malta,,256376000,VesselFinder
256388000,ALPHA ERA,Bulk Carrier,9HSY8,9220990, Malta,,256388000,VesselFinder
256410000,SIDER ATLANTIC,Bulk Carrier,9HA2856,9618795, Malta,,256410000,VesselFinder
256434000,ECOLA,Bulk Carrier,9HUK8,9216391, Malta,,256434000,VesselFinder
256456000,GOLDEN SHANGHAI,Bulk Carrier,9HA2862,9497361, Malta,,256456000,VesselFinder
256471000,BARBRO,Bulk Carrier,9HVE8,8307686, Malta,,256471000,VesselFinder
256485000,GOURNIATI,Bulk Carrier,9HVO8,9140047, Malta,,256485000,VesselFinder
256562000,PIRIN,Bulk Carrier,9HXN8,9381861, Malta,,256562000,VesselFinder
256597000,ORIENT TRAIL,Bulk Carrier,9HA2888,9467586, Malta,,256597000,VesselFinder
256608000,WHITE FIN,Bulk Carrier,9HA2891,9607291, Malta,,256608000,VesselFinder
256613000,MAJORCA,Bulk Carrier,9HYQ8,9294109, Malta,,256613000,VesselFinder
256615000,EVA,Bulk Carrier,9HA2894,8517994, Malta,,256615000,VesselFinder
256638000,DIAMOND SEA,Bulk Carrier,9HA2897,9468152, Malta,,256638000,VesselFinder
256642000,NAVIOS ASTERIKS,Bulk Carrier,9HZL8,9304253, Malta,,256642000,VesselFinder
256657000,TOPEKA,Bulk Carrier,9HZU8,9211585, Malta,,256657000,VesselFinder
256668000,MADEIRA,Bulk Carrier,9HAA9,9355161, Malta,,256668000,VesselFinder
256672000,ARIETTA,Bulk Carrier,9HA2902,9545065, Malta,,256672000,VesselFinder
256679000,CN BIG RED,Bulk Carrier,9HAF9,9076399, Malta,,256679000,VesselFinder
256680000,CN_JUMBOS,Bulk Carrier,9HAG9,9111371, Malta,,256680000,VesselFinder
256713000,ZINA,Bulk Carrier,9HA2910,9486465, Malta,,256713000,VesselFinder
256724000,LADY CELINE,Bulk Carrier,9HA2913,9543342, Malta,,256724000,VesselFinder
256737000,GLOBAL VICTORY,Bulk Carrier,9HA2919,9087283, Malta,,256737000,VesselFinder
256738000,PACIFIC ROYAL,Bulk Carrier,9HA2920,9135664, Malta,,256738000,VesselFinder
256743000,ORIENT ALLIANCE,Bulk Carrier,9HA2922,9496331, Malta,,256743000,VesselFinder
256804000,SAMATAN,Bulk Carrier,9HCX9,9236171, Malta,,256804000,VesselFinder
256808000,OREGON,Bulk Carrier,9HCZ9,9214123, Malta,,256808000,VesselFinder
256819000,IOLCOS DESTINY,Bulk Carrier,9HA2936,9486049, Malta,,256819000,VesselFinder
256828000,AFALES,Bulk Carrier,9HA2940,9619555, Malta,,256828000,VesselFinder
256829000,CHRIS GR,Bulk Carrier,9HA2939,9284506, Malta,,256829000,VesselFinder
256879000,PRONOI R,Bulk Carrier,9HA2951,9602746, Malta,,256879000,VesselFinder
256900000,AIS TEST SHIP,Bulk Carrier,9HA2957,9530632, Malta,,256900000,VesselFinder
256924000,MALINDI,Bulk Carrier,9HFS9,9363015, Malta,,256924000,VesselFinder
256936000,RARAKA,Bulk Carrier,9HA2965,9584504, Malta,,256936000,VesselFinder
256944000,SIDARI,Bulk Carrier,9HGG9,9363053, Malta,,256944000,VesselFinder
256955000,GALVESTON,Bulk Carrier,9HGL9,9257060, Malta,,256955000,VesselFinder
256971000,CAPTAIN P EGGLEZOS,Bulk Carrier,9HGX9,9332224, Malta,,256971000,VesselFinder
256979000,GO STAR,Bulk Carrier,9HHD9,9071416, Malta,,256979000,VesselFinder
256998000,HEMUS,Bulk Carrier,9HHP9,9354791, Malta,,256998000,VesselFinder
257094000,WESTERN TEXAS,Bulk Carrier,LANM7,9603063, Norway,,257094000,VesselFinder
257348000,SPAR NEPTUN,Bulk Carrier,LACA6,9077238, Norway,,257348000,VesselFinder
257460000,WESTERN OSLO,Bulk Carrier,LAJH7,9374002, Norway,,257460000,VesselFinder
